player_name,position,team,projected_points,adp
Trey Lance,QB,LAC,14.62,999.0
Graham Gano,K,,14.0,691.0
Michael Badgley,K,,14.0,667.0
Matt Prater,K,,14.0,687.8
Jalen Milroe,QB,SEA,13.86,999.0
Tim Patrick,WR,NYJ,13.7,495.0
J.J. McCarthy,QB,MIN,13.62,224.2
Ty Simpson,QB,LAR,13.62,241.8
Marcus Mariota,QB,WAS,13.12,999.0
Tyrod Taylor,QB,GB,12.9,658.2
Jameis Winston,QB,NYG,12.86,999.0
Will Levis,QB,TEN,12.7,999.0
Spencer Rattler,QB,NO,12.68,999.0
Tyler Huntley,QB,BAL,12.68,999.0
Diego Pavia,QB,,12.52,999.0
Raheem Mostert,RB,,12.5,999.0
Tyson Bagent,QB,CHI,12.5,999.0
Riley Leonard,QB,IND,12.44,999.0
Carson Wentz,QB,MIN,12.44,999.0
Tanner McKee,QB,PHI,12.42,999.0
Joe Milton,QB,DAL,12.4,999.0
Quinn Ewers,QB,MIA,12.4,999.0
Clayton Tune,QB,,12.4,999.0
Joshua Dobbs,QB,DET,12.4,692.3
Tommy DeVito,QB,NE,12.38,999.0
Jimmy Garoppolo,QB,,12.32,685.4
Jarrett Stidham,QB,DEN,12.22,999.0
Davis Mills,QB,HOU,12.04,999.0
Nick Mullens,QB,JAX,12.04,660.0
Kyle Allen,QB,BUF,12.0,665.6
Mitchell Trubisky,QB,TEN,11.94,999.0
Dylan Laube,RB,LV,11.9,999.0
Dillon Gabriel,QB,CLE,11.86,999.0
Andy Dalton,QB,PHI,11.82,999.0
Mason Rudolph,QB,PIT,11.68,999.0
Teddy Bridgewater,QB,,11.58,999.0
Josh Johnson,QB,CIN,11.34,544.0
Jaydn Ott,RB,KC,11.2,635.8
Tutu Atwell,WR,LAR,10.7,999.0
Luke Farrell,TE,SF,10.1,491.0
Durham Smythe,TE,BAL,9.9,999.0
Bo Melton,WR,GB,9.8,695.0
Foster Moreau,TE,HOU,9.8,638.3
Riley Nowakowski,TE,PIT,9.6,643.4
Jarquez Hunter,RB,MIA,9.6,240.6
Taysom Hill,TE,,9.5,999.0
Jeremy McNichols,RB,WAS,9.4,999.0
Elijah Mitchell,RB,,9.3,692.5
Jeremy Ruckert,TE,NYJ,9.3,999.0
Luke McCaffrey,WR,WAS,9.3,999.0
Austin Ekeler,RB,,9.3,999.0
Noah Brown,WR,,9.3,633.8
Isaiah Hodgins,WR,NYG,9.2,999.0
Dare Ogunbowale,RB,LV,9.2,999.0
Cade York,K,,9.0,350.0
Theo Wease,WR,MIA,8.9,999.0
Cody White,WR,SEA,8.5,664.0
Dean Connors,RB,LAR,8.4,666.2
Tyler Badie,RB,DEN,8.4,999.0
Lucas Krull,TE,DEN,8.1,999.0
Payne Durham,TE,TB,8.1,564.0
Michael Carter,RB,TEN,8.1,686.5
Seydou Traore,TE,MIA,8.0,668.6
Quintin Morris,TE,JAX,8.0,999.0
Charlie Woerner,TE,ATL,8.0,641.5
Roschon Johnson,RB,CHI,7.6,999.0
Jaleel McLaughlin,RB,DEN,7.5,999.0
Tucker Fisk,TE,,7.5,999.0
Jack Stoll,TE,,7.5,621.3
Dallin Holker,TE,,7.5,999.0
Damien Martinez,RB,GB,7.5,999.0
Pierre Strong,RB,GB,7.5,682.0
Jack Velling,TE,ATL,7.3,664.6
Devin Culp,TE,TB,7.3,389.0
Dante Pettis,WR,BUF,7.3,636.7
Xavier Weaver,WR,ARI,7.1,647.0
Ronnie Rivers,RB,LAR,7.1,999.0
Arian Smith,WR,NYJ,7.1,999.0
Van Jefferson,WR,WAS,6.8,586.4
Malachi Corley,WR,CLE,6.8,242.0
Darius Cooper,WR,PHI,6.7,999.0
Phil Mafah,RB,DAL,6.7,999.0
Noah Thomas,WR,CIN,6.6,646.8
Cedric Tillman,WR,,6.6,667.4
Chase Roberts,WR,LV,6.6,350.0
Trebor Pena,WR,JAX,6.6,662.5
Dane Key,WR,DEN,6.6,999.0
Kevin Austin,WR,NO,6.5,999.0
Josh Reynolds,WR,,6.5,999.0
Tyler Johnson,WR,DAL,6.5,537.5
Jalen Brooks,WR,ARI,6.5,691.3
Allen Lazard,WR,,6.4,694.8
Isaac Guerendo,RB,SF,6.2,999.0
Josh Whyle,TE,GB,6.2,695.5
Brevin Jordan,TE,HOU,6.1,651.3
Lenny Krieg,K,,6.0,677.5
Will Ferrin,K,,6.0,442.2
Davis Allen,TE,LAR,5.9,660.7
Tanner Hudson,TE,CIN,5.8,999.0
Stone Smartt,TE,PHI,5.7,999.0
Nate Adkins,TE,DEN,5.7,627.5
Eric Saubert,TE,SEA,5.7,575.5
Julian Hill,TE,NE,5.6,668.8
Kendre Miller,RB,NO,5.6,224.8
Kalel Mullings,RB,TEN,5.6,690.0
Julius Chestnut,RB,TEN,5.6,999.0
Zavier Scott,RB,MIN,5.6,693.0
Drew Ogletree,TE,IND,5.4,999.0
Curtis Samuel,WR,,5.3,688.8
Kenny McIntosh,RB,,5.2,684.4
Cam Akers,RB,,5.1,653.3
Zamir White,RB,NO,5.1,631.7
Dyami Brown,WR,WAS,4.9,999.0
Dee Eskridge,WR,,4.9,999.0
Ameer Abdullah,RB,JAX,4.8,612.4
Kameron Johnson,WR,TB,4.8,999.0
Xavier Restrepo,WR,TEN,4.8,675.0
Tyler Goodson,RB,ATL,4.8,683.8
Raheim Sanders,RB,CLE,4.7,999.0
Dont'e Thornton,WR,LV,4.7,999.0
Dareke Young,WR,LV,4.6,676.0
Efton Chism,WR,NE,4.6,999.0
Craig Reynolds,RB,WAS,4.4,599.8
Blake Whiteheart,TE,CLE,4.4,999.0
David Moore,WR,CAR,4.3,575.5
Dameon Pierce,RB,PHI,4.3,999.0
Jacardia Wright,RB,SEA,4.3,677.2
Tylan Wallace,WR,CLE,4.2,669.8
Jake Bobo,WR,SEA,4.2,999.0
Kaden Wetjen,WR,PIT,4.2,999.0
Ricky White,WR,SEA,4.2,676.5
Chris Moore,WR,BAL,4.1,999.0
JuJu Smith-Schuster,WR,,4.1,999.0
Cameron Latu,TE,PHI,4.0,673.1
Jamal Haynes,RB,CIN,4.0,999.0
Kylen Granson,TE,TEN,4.0,505.0
Tyrell Shavers,WR,BUF,4.0,651.4
Ben Yurosek,TE,MIN,4.0,999.0
