player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Mike Gesicki,TE,CIN,106.08,3,3.97577665368667,278.0,,278.0,298.0,,
Daniel Carlson,K,NO,105.84,2,19.57271570324364,,,,405.0,,
Atlanta Falcons,DEF,ATL,105.61,3,28.702160778124934,228.4,228.4,228.4,283.0,,
Ja'Kobi Lane,WR,BAL,104.9,3,26.74293613897572,150.7,157.6,150.7,231.0,,
Caleb Douglas,WR,MIA,104.85,3,15.925686798377019,165.8,213.2,165.8,241.0,,
Keaton Mitchell,RB,LAC,104.7,4,14.623851236934815,151.2,184.3,151.2,144.0,99.7,253.9
Green Bay Packers,DEF,GB,104.56,4,27.416423301858078,168.9,201.2,168.9,211.0,104.5,136.3
Philadelphia Eagles,DEF,PHI,104.275,4,24.13176934388912,136.1,125.6,136.1,176.0,101.0,137.1
Jacksonville Jaguars,DEF,JAX,103.465,4,27.14623162920899,159.7,169.8,159.7,188.0,98.7,127.7
Chicago Bears,DEF,CHI,102.965,4,28.356854991342036,166.9,221.9,166.9,309.0,98.2,130.6
Chris Rodriguez,RB,JAX,102.25,4,16.984513289072098,131.4,139.5,131.4,136.0,98.4,252.4
Jason Sanders,K,NYJ,102.16,2,15.782623356083736,,,,441.0,,
Deshaun Watson,QB,CLE,102.06,3,19.19706314344288,239.5,,239.5,288.0,,
Cleveland Browns,DEF,CLE,101.975,4,21.27597921757461,172.1,266.6,172.1,227.0,95.4,133.4
Jaylin Noel,WR,HOU,101.17500000000001,4,17.296453152790214,170.1,213.7,170.1,201.0,108.3,251.9
Dylan Sampson,RB,CLE,101.13499999999999,4,17.622709543843325,162.2,190.5,162.2,142.0,109.8,233.5
Travis Hunter,WR,JAX,100.6,3,10.162924447880807,160.5,167.2,160.5,193.0,,
Matt Gay,K,LV,100.0,2,35.35533905932738,263.3,263.3,263.3,,,
Tampa Bay Buccaneers,DEF,TB,99.64,4,13.29296555826928,232.4,232.4,232.4,369.0,96.7,129.3
Chris Bell,WR,MIA,99.4,3,21.622750364681487,167.8,240.9,167.8,252.0,,
Kansas City Chiefs,DEF,KC,99.265,4,16.912329575391635,171.0,226.3,171.0,206.0,96.4,122.8
Mike Washington,RB,LV,99.18,4,11.333000485308382,129.8,172.9,129.8,163.0,87.9,262.8
New York Giants,DEF,NYG,99.13499999999999,4,21.100155410170167,170.6,238.6,170.6,358.0,99.1,131.1
New Orleans Saints,DEF,NO,98.755,4,21.41790586557581,244.6,244.6,244.6,289.0,92.8,128.6
Justice Hill,RB,BAL,98.4,4,18.880766227389532,169.9,,169.9,238.0,86.1,191.4
Tyler Allgeier,RB,ARI,96.715,4,12.212994104641169,138.2,145.4,138.2,134.0,87.2,220.1
Indianapolis Colts,DEF,IND,96.67,4,16.05123775081951,219.0,219.0,219.0,304.0,93.9,128.4
Mason Taylor,TE,NYJ,96.4,3,18.36532602487634,224.3,224.3,224.3,276.0,,
Tennessee Titans,DEF,TEN,96.33,4,16.357329651667882,172.3,270.2,172.3,368.0,93.0,127.9
Tyrone Tracy,RB,NYG,95.475,4,12.989442828697463,158.0,166.8,158.0,154.0,67.5,226.5
Drew Stevens,K,WAS,95.39500000000001,2,30.257099166972374,629.7,629.7,629.7,438.0,,
San Francisco 49ers,DEF,SF,95.055,4,18.9505415489901,168.0,218.3,168.0,281.0,95.2,126.0
