RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
133,Jayden Higgins,WR,HOU,8,145,3,129.6,WR55,,,,,54,671,4,12.4,3.2/5.5,,,,,,,130,,,,,41,525,6,12.8,2.4/4.0,,,,,,,4,14.30
134,Sam Darnold,QB,SEA,11,273,13,174.5,QB22,3.0,41,125,1,,,,,,4212,27,11,67%,31.6,11.8,235,2.7,35,95,,,,,,,4048,25,14,68%,28.1,12.5,4,14.40
135,C.J. Stroud,QB,HOU,8,270,6,166.9,QB23,4.4,56,247,1,,,,,,4026,25,11,64%,32.1,11.3,209,4.4,48,209,1,,,,,,3041,19,8,65%,30.2,11.1,4,14.50
136,Deebo Samuel Sr.,WR,SF,8,173,26,132.8,WR56,4.4,24,106,1,57,694,5,12.2,3.4/5.0,,,,,,,188,4.4,17,75,1,72,727,5,10.1,4.5/6.2,,,,,,,4,14.60
137,Isaiah Likely,TE,NYG,8,180,6,114.3,TE15,,,,,71,794,5,11.2,4.2/5.5,,,,,,,62,,,,,27,307,1,11.4,1.9/2.6,,,,,,,4,14.70
138,Tyrone Tracy Jr.,RB,NYG,8,101,9,137.3,RB44,4.2,99,420,2,23,176,1,7.7,1.4/1.8,,,,,,,161,4.2,176,740,2,36,288,2,8.0,2.4/3.2,,,,,,,4,14.80
139,Jalen McMillan,WR,TB,10,154,11,158,WR57,5.8,5,30,,53,680,5,12.9,3.1/4.8,,,,,,,30,1.0,1,1,,12,178,,14.8,3.0/3.8,,,,,,,4,14.90
140,Rashid Shaheed,WR,SEA,11,153,13,141,WR58,6.6,12,79,1,53,623,4,11.8,3.1/5.1,,,,,,,145,7.7,9,69,,59,687,2,11.6,3.3/5.1,,,,,,,4,15.00
141,De'Zhaun Stribling,WR,SF,8,100,26,160.9,WR59,,,,,34,477,3,14.0,2.0/3.3,,,,,,,,,,,,,,,,,,,,,,,4,15.10
142,Daniel Jones,QB,IND,13,279,8,159.1,QB24,4.1,64,263,4,,,,,,3962,23,11,67%,31.5,11.0,226,3.6,45,164,5,,,,,,3101,19,8,68%,29.5,11.9,4,15.20
